Equipo,Valor_Mercado_Raw,Valor_Mercado_Millones_Eur
Francia,"58,58 mill. €",58.58
Inglaterra,"52,43 mill. €",52.43
España,"47,03 mill. €",47.03
Portugal,"38,67 mill. €",38.67
Alemania,"36,42 mill. €",36.42
Brasil,"35,70 mill. €",35.7
Argentina,"31,06 mill. €",31.06
Países Bajos,"29,01 mill. €",29.01
Noruega,"22,69 mill. €",22.69
Bélgica,"21,06 mill. €",21.06
Costa de Marfil,"20,08 mill. €",20.08
Senegal,"18,39 mill. €",18.39
Turquía,"18,22 mill. €",18.22
Marruecos,"17,22 mill. €",17.22
Suecia,"15,62 mill. €",15.62
Croacia,"14,90 mill. €",14.9
Estados Unidos,"14,83 mill. €",14.83
Ecuador,"14,18 mill. €",14.18
Uruguay,"13,82 mill. €",13.82
Suiza,"12,79 mill. €",12.79
Colombia,"11,63 mill. €",11.63
Japón,"10,42 mill. €",10.42
Argelia,"9,88 mill. €",9.88
Austria,"9,43 mill. €",9.43
Ghana,"9,01 mill. €",9.01
Canadá,"7,64 mill. €",7.64
México,"7,38 mill. €",7.38
Chequia,"7,24 mill. €",7.24
Escocia,"6,55 mill. €",6.55
Paraguay,"5,91 mill. €",5.91
Bosnia-Herzegovina,"5,63 mill. €",5.63
República Democrática del Congo,"5,53 mill. €",5.53
Corea del Sur,"5,35 mill. €",5.35
Egipto,"4,48 mill. €",4.48
Uzbekistán,"3,28 mill. €",3.28
Australia,"2,98 mill. €",2.98
Túnez,"2,69 mill. €",2.69
Haití,"2,15 mill. €",2.15
Cabo Verde,"2,10 mill. €",2.1
Sudáfrica,"1,89 mill. €",1.89
Arabia Saudita,"1,56 mill. €",1.56
Panamá,"1,33 mill. €",1.33
Nueva Zelanda,"1,32 mill. €",1.32
Irán,"1,23 mill. €",1.23
Curazao,991 mil €,0.991
Irak,815 mil €,0.815
Jordania,781 mil €,0.781
Catar,766 mil €,0.766
Dinamarca,"15,87 mill. €",15.87
Italia,"13,73 mill. €",13.73
Grecia,"11,02 mill. €",11.02
Georgia,"9,65 mill. €",9.65
Ucrania,"9,88 mill. €",9.88
Rusia,"7,35 mill. €",7.35
Polonia,"8,91 mill. €",8.91
Serbia,"7,76 mill. €",7.76
Hungría,"7,21 mill. €",7.21
Camerún,"8,28 mill. €",8.28
Gales,"6,69 mill. €",6.69
Nigeria,"7,48 mill. €",7.48
Kosovo,"5,46 mill. €",5.46
Irlanda,"5,44 mill. €",5.44
Malí,"4,32 mill. €",4.32
Burkina Faso,"4,42 mill. €",4.42
Eslovenia,"4,02 mill. €",4.02
Islandia,"3,71 mill. €",3.71
Albania,"3,42 mill. €",3.42
Irlanda del Norte,"3,47 mill. €",3.47
Venezuela,"2,93 mill. €",2.93
Gambia,"3,43 mill. €",3.43
Guinea,"2,47 mill. €",2.47
Montenegro,"2,48 mill. €",2.48
Israel,"2,96 mill. €",2.96
Chile,"2,67 mill. €",2.67
Eslovaquia,"2,30 mill. €",2.3
Rumanía,"2,37 mill. €",2.37
Angola,"1,72 mill. €",1.72
Armenia,"1,56 mill. €",1.56
Finlandia,"1,55 mill. €",1.55
Guinea-Bisáu,"1,64 mill. €",1.64
Surinam,"1,38 mill. €",1.38
Gabón,"1,01 mill. €",1.01
Macedonia del Norte,"1,38 mill. €",1.38
Perú,"1,28 mill. €",1.28
Bulgaria,"1,20 mill. €",1.2
Emiratos Árabes Unidos,"1,21 mill. €",1.21
Costa Rica,"1,34 mill. €",1.34
Togo,"1,11 mill. €",1.11
Mauritania,"1,01 mill. €",1.01
Zimbabue,"1,21 mill. €",1.21
Honduras,805 mil €,0.805
Comoras,667 mil €,0.667
Chipre,737 mil €,0.737
Indonesia,850 mil €,0.85
Azerbaiyán,706 mil €,0.706
Benín,723 mil €,0.723
Bolivia,669 mil €,0.669
Kazajistán,652 mil €,0.652
Lituania,703 mil €,0.703
Bielorrusia,641 mil €,0.641
Malta,554 mil €,0.554
Luxemburgo,639 mil €,0.639
China,551 mil €,0.551
Liberia,551 mil €,0.551
Zambia,614 mil €,0.614
Estonia,516 mil €,0.516
Guadalupe,548 mil €,0.548
Sierra Leona,555 mil €,0.555
República Dominicana,513 mil €,0.513
Burundi,377 mil €,0.377
Níger,428 mil €,0.428
Palestina,343 mil €,0.343
Libia,533 mil €,0.533
Moldavia,373 mil €,0.373
Jamaica,377 mil €,0.377
Tanzania,361 mil €,0.361
Uganda,297 mil €,0.297
Chad,356 mil €,0.356
Omán,297 mil €,0.297
Letonia,329 mil €,0.329
República Centroafricana,342 mil €,0.342
Siria,317 mil €,0.317
Guatemala,338 mil €,0.338
Tayikistán,324 mil €,0.324
Malasia,271 mil €,0.271
Bangladés,315 mil €,0.315
El Salvador,285 mil €,0.285
Kirguistán,271 mil €,0.271
Ruanda,232 mil €,0.232
Corea del Norte,236 mil €,0.236
Madagascar,283 mil €,0.283
Tailandia,273 mil €,0.273
Vietnam,277 mil €,0.277
Baréin,256 mil €,0.256
Líbano,241 mil €,0.241
Nueva Caledonia,208 mil €,0.208
Islas Feroe,222 mil €,0.222
Singapur,156 mil €,0.156
Eritrea,181 mil €,0.181
Kuwait,176 mil €,0.176
Guinea Ecuatorial,191 mil €,0.191
India,182 mil €,0.182
Nicaragua,172 mil €,0.172
Martinica,180 mil €,0.18
Andorra,137 mil €,0.137
Pakistán,154 mil €,0.154
Hong Kong,157 mil €,0.157
Kenia,138 mil €,0.138
Sudán,121 mil €,0.121
Filipinas,147 mil €,0.147
Botsuana,117 mil €,0.117
Myanmar,125 mil €,0.125
Turkmenistán,134 mil €,0.134
Etiopía,126 mil €,0.126
Cuba,108 mil €,0.108
Camboya,99 mil €,0.099
República del Congo,111 mil €,0.111
Fiyi,94 mil €,0.094
Yemen,96 mil €,0.096
Trinidad y Tobago,102 mil €,0.102
Namibia,90 mil €,0.09
Malaui,75 mil €,0.075
China Taipéi,83 mil €,0.083
Gibraltar,73 mil €,0.073
Granada,43 mil €,0.043
Sudán del Sur,64 mil €,0.064
Guyana,60 mil €,0.06
Mozambique,59 mil €,0.059
Santo Tomé y Príncipe,59 mil €,0.059
Nepal,59 mil €,0.059
Laos,57 mil €,0.057
San Marino,44 mil €,0.044
Afganistán,47 mil €,0.047
Esuatini,45 mil €,0.045
Seychelles,45 mil €,0.045
Sri Lanka,40 mil €,0.04
Bután,37 mil €,0.037
Puerto Rico,38 mil €,0.038
Brunéi Darussalam,35 mil €,0.035
Mauricio,35 mil €,0.035
Timor Oriental,33 mil €,0.033
Somalia,40 mil €,0.04
Maldivas,31 mil €,0.031
Antigua y Barbuda,28 mil €,0.028
Liechtenstein,26 mil €,0.026
Lesoto,25 mil €,0.025
Yibuti,29 mil €,0.029
San Cristóbal y Nieves,25 mil €,0.025
Vanuatu,22 mil €,0.022
Mongolia,23 mil €,0.023
San Vicente y las Granadinas,14 mil €,0.014
Islas Salomón,20 mil €,0.02
Sint Maarten,19 mil €,0.019
Bonaire,17 mil €,0.017
Bermudas,13 mil €,0.013
Montserrat,20 mil €,0.02
Belice,15 mil €,0.015
Macao,14 mil €,0.014
Santa Lucía,13 mil €,0.013
Guam,10 mil €,0.01
Samoa,10 mil €,0.01
Barbados,8 mil €,0.008
Aruba,7 mil €,0.007
Islas Vírgenes de los Estados Unidos,5 mil €,0.005
Guayana Francesa,5 mil €,0.005
Islas Cook,6 mil €,0.006
Tahití,3 mil €,0.003
Islas Turcas y Caicos,3 mil €,0.003
Tonga,0 mil €,0.0
Papúa Nueva Guinea,-,0.0
Bahamas,-,0.0
Dominica,-,0.0
Samoa Americana,-,0.0
Anguila,-,0.0
Islas Vírgenes Británicas,-,0.0
Islas Caimán,-,0.0
Kiribati,-,0.0
