Variable,Importancia
Prob_Implicita_ELO,0.06365732
Pred_Goles_V,0.062355284
diff_Puntos,0.059672292
Pred_Goles_L,0.049836304
diff_Valor_Mercado,0.03207627
avg_Goles_esperados_(xG)_total_Visitante,0.020758599
diff_avg_xGA_2,0.018324878
diff_avg_Córneres_2,0.017958565
avg_h2h_win_rate_total_Visitante,0.017588858
diff_avg_Ptos_2,0.017526506
avg_Ptos_2_Visitante,0.016647285
avg_h2h_goles_avg_total_Visitante,0.016395962
avg_Remates_a_puerta_2_Local,0.01634547
diff_clean_sheet_rate_5,0.015810031
avg_xGA_2_Local,0.015694126
avg_Paradas_Share_2_Visitante,0.015681373
avg_Córneres_2_Local,0.015114548
avg_Pases_Pct_total_Visitante,0.0143138785
diff_h2h_win_rate,0.013884297
avg_xGA_2_Visitante,0.013476818
avg_Paradas_Share_2_Local,0.013383895
avg_Pases_Exitosos_2_Visitante,0.013313058
clean_sheet_rate_5_Local,0.0131176505
Peso_Visitante,0.012776497
avg_Goles_esperados_(xG)_total_Local,0.012554416
